Flow index,from_node_name,to_node_name,from_node_number,to_node_number,Score1,Score2,Score3,Score4
30,Alloying element - Zn,Remelting,15,8,0.833333333,0,0.416666667,0
31,Alloying element - Zn,Refining,15,9,0.833333333,0,0.416666667,0
32,Alloying element - Other,Remelting,16,8,0.833333333,0,0.416666667,0
33,Alloying element - Other,Refining,16,9,0.833333333,0,0.416666667,0
34,Import scrap,EOL scrap (generated),17,18,0.916666667,0,0,0
35,EOL scrap (generated),Export EOL scrap,18,93,0.916666667,0,0,0
36,EOL scrap (generated),Loss EOL scrap,18,94,0.5,0,0,0
37,EOL scrap (generated),EOL scrap (recycled),18,19,0.916666667,0,0,0
38,EOL scrap (recycled),Remelting,19,8,0.416666667,0,0,0
39,EOL scrap (recycled),Refining,19,9,0.416666667,0,0,0
40,Forming scrap (generated),Loss forming scrap,20,95,0.416666667,0,0,0
41,Forming scrap (generated),Forming scrap (recycled),20,21,0.416666667,0,0,0
42,Forming scrap (recycled),Remelting,21,8,0.25,0,0,0
43,Forming scrap (recycled),Refining,21,9,0.25,0,0,0
44,Fabrication scrap (generated),Loss fabrication scrap,22,96,0.416666667,0,0,0
45,Fabrication scrap (generated),Fabrication scrap (recycled),22,23,0.916666667,0,0.25,0
46,Fabrication scrap (recycled),Remelting,23,8,0.916666667,0,0.25,0
47,Fabrication scrap (recycled),Refining,23,9,0,0,0,0
48,Wrought aluminum ingot,1xxx,24,42,0.416666667,0,0.25,0.5
49,Wrought aluminum ingot,2xxx,24,43,0.416666667,0,0.25,0.5
50,Wrought aluminum ingot,3xxx,24,44,0.416666667,0,0.25,0.5
51,Wrought aluminum ingot,4xxx,24,45,0.416666667,0,0.25,0.5
52,Wrought aluminum ingot,5xxx,24,46,0.416666667,0,0.25,0.5
53,Wrought aluminum ingot,6xxx,24,47,0.416666667,0,0.25,0.5
54,Wrought aluminum ingot,7xxx,24,48,0.416666667,0,0.25,0.5
55,Wrought aluminum ingot,8xxx,24,49,0.416666667,0,0.25,0.5
56,Cast aluminum ingot,36x,25,26,0.666666667,0,0,0.5
57,Cast aluminum ingot,38x,25,27,0.666666667,0,0,0.5
58,Cast aluminum ingot,2xx,25,28,0.666666667,0,0,0.5
59,Cast aluminum ingot,3xx,25,29,0.666666667,0,0,0.5
60,Cast aluminum ingot,4xx,25,30,0.666666667,0,0,0.5
61,Cast aluminum ingot,5xx,25,31,0.666666667,0,0,0.5
62,Cast aluminum ingot,7xx,25,32,0.666666667,0,0,0.5
63,Cast aluminum ingot,Other,25,33,0.666666667,0,0,0.5
64,36x,die cast,26,34,0.666666667,0,0,0
65,38x,die cast,27,34,0.666666667,0,0,0
66,2xx,sand cast,28,36,0.666666667,0,0,0
67,3xx,sand cast,29,36,0.666666667,0,0,0
68,4xx,sand cast,30,36,0.666666667,0,0,0
69,5xx,sand cast,31,36,0.666666667,0,0,0
70,7xx,sand cast,32,36,0.666666667,0,0,0
71,Other,sand cast,33,36,0.666666667,0,0,0
72,2xx,permanent- & semi-permanent mold cast,28,38,0.666666667,0,0,0
73,3xx,permanent- & semi-permanent mold cast,29,38,0.666666667,0,0,0
74,4xx,permanent- & semi-permanent mold cast,30,38,0.666666667,0,0,0
75,5xx,permanent- & semi-permanent mold cast,31,38,0.666666667,0,0,0
76,7xx,permanent- & semi-permanent mold cast,32,38,0.666666667,0,0,0
77,Other,permanent- & semi-permanent mold cast,33,38,0.666666667,0,0,0
78,Other,other cast,33,40,0.666666667,0,0,0
79,Cast aluminum ingot,Export cast aluminum ingot,25,97,0.916666667,0,0,0
80,die cast,Scrap - cast,34,35,0,0,0.416666667,0
81,Scrap - cast,die cast,35,34,0,0,0.416666667,0
82,sand cast,Scrap sand cast,36,37,0,0,0.416666667,0
83,Scrap sand cast,sand cast,37,36,0,0,0.416666667,0
84,permanent- & semi-permanent mold cast,Scrap semi-permanent mold cast,38,39,0,0,0.416666667,0
85,Scrap semi-permanent mold cast,permanent- & semi-permanent mold cast,39,38,0,0,0.416666667,0
86,other cast,Scrap other cast,40,41,0,0,0.416666667,0
87,Scrap other cast,other cast,41,40,0,0,0.416666667,0
88,die cast,Export cast semifinished products,34,98,0.916666667,0,0,0
89,1xxx,Rolling,42,51,0,0,0.416666667,0
90,1xxx,Extrusion,42,53,0,0,0.416666667,0
91,1xxx,Drawing,42,55,0,0,0.416666667,0
92,1xxx,Other milling processes,42,57,0,0,0.416666667,0
93,2xxx,Rolling,43,51,0,0,0.416666667,0
94,2xxx,Extrusion,43,53,0,0,0.416666667,0
95,2xxx,Drawing,43,55,0,0,0.416666667,0
96,2xxx,Other milling processes,43,57,0,0,0.416666667,0
97,3xxx,Rolling,44,51,0,0,0.416666667,0
98,3xxx,Extrusion,44,53,0,0,0.416666667,0
99,3xxx,Drawing,44,55,0,0,0.416666667,0
100,3xxx,Other milling processes,44,57,0,0,0.416666667,0
101,4xxx,Rolling,45,51,0,0,0.416666667,0
102,4xxx,Other milling processes,45,57,0,0,0.416666667,0
103,5xxx,Rolling,46,51,0,0,0.416666667,0
104,5xxx,Extrusion,46,53,0,0,0.416666667,0
105,5xxx,Drawing,46,55,0,0,0.416666667,0
106,5xxx,Other milling processes,46,57,0,0,0.416666667,0
107,6xxx,Rolling,47,51,0,0,0.416666667,0
108,6xxx,Extrusion,47,53,0,0,0.416666667,0
109,6xxx,Drawing,47,55,0,0,0.416666667,0
110,6xxx,Other milling processes,47,57,0,0,0.416666667,0
111,7xxx,Rolling,48,51,0,0,0.416666667,0
112,7xxx,Extrusion,48,53,0,0,0.416666667,0
113,7xxx,Drawing,48,55,0,0,0.416666667,0
114,7xxx,Other milling processes,48,57,0,0,0.416666667,0
115,8xxx,Rolling,49,51,0,0,0.416666667,0
116,8xxx,Extrusion,49,53,0,0,0.416666667,0
117,8xxx,Drawing,49,55,0,0,0.416666667,0
118,8xxx,Other milling processes,49,57,0,0,0.416666667,0
119,die cast,Building & construction,34,69,0,0,0.416666667,0
120,die cast,Transportation auto,34,70,0,0,0.416666667,0
121,die cast,Transportation other,34,71,0,0,0.416666667,0
122,die cast,Machine & industry,34,72,0,0,0.416666667,0
123,die cast,Electrical & equipment,34,73,0,0,0.416666667,0
124,die cast,Consumer durables,34,74,0,0,0.416666667,0
125,die cast,Other end uses,34,76,0,0,0.416666667,0
126,sand cast,Transportation auto,36,70,0,0,0.416666667,0
127,sand cast,Transportation other,36,71,0,0,0.416666667,0
128,sand cast,Machine & industry,36,72,0,0,0.416666667,0
129,sand cast,Electrical & equipment,36,73,0,0,0.416666667,0
130,sand cast,Consumer durables,36,74,0,0,0.416666667,0
131,sand cast,Other end uses,36,76,0,0,0.416666667,0
132,permanent- & semi-permanent mold cast,Transportation auto,38,70,0,0,0.416666667,0
133,permanent- & semi-permanent mold cast,Transportation other,38,71,0,0,0.416666667,0
134,permanent- & semi-permanent mold cast,Machine & industry,38,72,0,0,0.416666667,0
135,permanent- & semi-permanent mold cast,Electrical & equipment,38,73,0,0,0.416666667,0
136,permanent- & semi-permanent mold cast,Consumer durables,38,74,0,0,0.416666667,0
137,permanent- & semi-permanent mold cast,Other end uses,38,76,0,0,0.416666667,0
138,other cast,Other end uses,40,76,0,0,0.416666667,0
139,Import mill semifinished products,Rolling,50,51,0,0,1,0
140,Import mill semifinished products,Extrusion,50,53,0,0,1,0
141,Import mill semifinished products,Drawing,50,55,0,0,1,0
142,Import mill semifinished products,Other milling processes,50,57,0,0,1,0
143,Import mill semifinished products,Sheet & Plate,50,59,0,0,1,0
144,Import mill semifinished products,Foil,50,61,0,0,1,0
145,Import mill semifinished products,Extruded Products,50,63,0,0,1,0
146,Import mill semifinished products,Wire,50,65,0,0,1,0
147,Import mill semifinished products,Forging & impacts,50,66,0,0,1,0
148,Import mill semifinished products,Powerder & Paste,50,67,0,0,1,0
149,Rolling,Scrap Rolling,51,52,0,0,0.416666667,0
150,Rolling,Sheet & Plate,51,59,0,0,0.416666667,0
151,Rolling,Foil,51,61,0,0,0.416666667,0
152,Rolling,Export milling semifinished products,51,99,0,0,1,0
153,Scrap Rolling,Forming scrap (generated),52,20,0,0,0.416666667,0
154,Extrusion,Scrap Extrusion,53,54,0,0,0.416666667,0
155,Extrusion,Extruded Products,53,63,0,0,0.416666667,0
156,Extrusion,Export milling semifinished products,53,99,0,0,1,0
157,Scrap Extrusion,Forming scrap (generated),54,20,0,0,0.416666667,0
158,Drawing,Scrap Drawing,55,56,0,0,0.416666667,0
159,Drawing,Wire,55,65,0,0,0.416666667,0
160,Drawing,Export milling semifinished products,55,99,0,0,1,0
161,Scrap Drawing,Forming scrap (generated),56,20,0,0,0.416666667,0
162,Other milling processes,Scrap Other milling processes,57,58,0,0,0.416666667,0
163,Other milling processes,Forging & impacts,57,66,0,0,0.416666667,0
164,Other milling processes,Powerder & Paste,57,67,0,0,0.416666667,0
165,Other milling processes,Export milling semifinished products,57,99,0,0,1,0
166,Scrap Other milling processes,Forming scrap (generated),58,20,0,0,0.416666667,0
167,Sheet & Plate,Scrap Sheet & Plate,59,60,0,0,0.416666667,0
168,Sheet & Plate,Building & construction,59,69,0,0,0.416666667,0
169,Sheet & Plate,Transportation auto,59,70,0,0,0.916666667,0
170,Sheet & Plate,Transportation other,59,71,0,0,0.916666667,0
171,Sheet & Plate,Machine & industry,59,72,0,0,0.916666667,0
172,Sheet & Plate,Electrical & equipment,59,73,0,0,0.916666667,0
173,Sheet & Plate,Consumer durables,59,74,0,0,0.916666667,0
174,Sheet & Plate,Container & packages,59,75,0,0,0.916666667,0
175,Sheet & Plate,Other end uses,59,76,0,0,0.916666667,0
176,Scrap Sheet & Plate,Fabrication scrap (generated),60,22,0,0,0.916666667,0
177,Foil,Scrap Foil,61,62,0,0,0.416666667,0
178,Foil,Building & construction,61,69,0,0,0.416666667,0
179,Foil,Transportation auto,61,70,0,0,0.916666667,0
180,Foil,Transportation other,61,71,0,0,0.916666667,0.416666667
181,Foil,Machine & industry,61,72,0,0,0.916666667,0
182,Foil,Electrical & equipment,61,73,0,0,0.916666667,0
183,Foil,Consumer durables,61,74,0,0,0.916666667,0
184,Foil,Container & packages,61,75,0,0,0.916666667,0
185,Foil,Other end uses,61,76,0,0,0.916666667,0
186,Scrap Foil,Fabrication scrap (generated),62,22,0,0,0.916666667,0
187,Extruded Products,Scrap Extruded Products,63,64,0,0,0.416666667,0
188,Extruded Products,Building & construction,63,69,0,0,0.916666667,0
189,Extruded Products,Transportation auto,63,70,0,0,0.916666667,0
190,Extruded Products,Transportation other,63,71,0,0,0.916666667,0.416666667
191,Extruded Products,Machine & industry,63,72,0,0,0.916666667,0
192,Extruded Products,Electrical & equipment,63,73,0,0,0.916666667,0
193,Extruded Products,Consumer durables,63,74,0,0,0.916666667,0
194,Extruded Products,Other end uses,63,76,0,0,0.916666667,0
195,Scrap Extruded Products,Fabrication scrap (generated),64,22,0,0,0.916666667,0
196,Wire,Building & construction,65,69,0,0,0.416666667,0
197,Wire,Transportation other,65,71,0,0,0.916666667,0
198,Wire,Machine & industry,65,72,0,0,0.916666667,0
199,Wire,Electrical & equipment,65,73,0,0,0.916666667,0
200,Wire,Consumer durables,65,74,0,0,0.916666667,0
201,Wire,Other end uses,65,76,0,0,0.916666667,0
202,Forging & impacts,Transportation auto,66,70,0,0,0.916666667,0
203,Forging & impacts,Transportation other,66,71,0,0,0.916666667,0
204,Forging & impacts,Machine & industry,66,72,0,0,0.916666667,0
205,Forging & impacts,Electrical & equipment,66,73,0,0,0.916666667,0
206,Forging & impacts,Consumer durables,66,74,0,0,0.916666667,0
207,Forging & impacts,Container & packages,66,75,0,0,0.916666667,0
208,Forging & impacts,Other end uses,66,76,0,0,0.916666667,0
209,Powerder & Paste,Other end uses,67,76,0,0,0.916666667,0
210,Import finished consumption,Building & construction,68,69,0,0,0.916666667,0
211,Import finished consumption,Transportation auto,68,70,0,0,0.5,0
212,Import finished consumption,Transportation other,68,71,0,0,0.5,0
213,Import finished consumption,Machine & industry,68,72,0,0,0.5,0
214,Import finished consumption,Electrical & equipment,68,73,0,0,0.5,0
215,Import finished consumption,Consumer durables,68,74,0,0,0.5,0
216,Import finished consumption,Container & packages,68,75,0,0,0.5,0
217,Import finished consumption,Other end uses,68,76,0,0,0.5,0
218,Building & construction,Export finished consumption,69,100,0,0,0.5,0
219,Building & construction,Consumption Building & construction,69,101,0,0,0.5,0
220,Transportation auto,Export finished consumption,70,100,0,0,0.666666667,0.25
221,Transportation auto,Consumption Transportation auto,70,102,0,0,0.75,0
222,Transportation other,Export finished consumption,71,100,0,0,0.666666667,0.25
223,Transportation other,Consumption Transportation other,71,103,0,0,0.75,0
224,Machine & industry,Export finished consumption,72,100,0,0,0.666666667,0.25
225,Machine & industry,Consumption Machine & industry,72,104,0,0,0.75,0
226,Electrical & equipment,Export finished consumption,73,100,0,0,0.666666667,0.25
227,Electrical & equipment,Consumption Electrical & equipment,73,105,0,0,0.75,0
228,Consumer durables,Export finished consumption,74,100,0,0,0.666666667,0.25
229,Consumer durables,Consumption Consumer durables,74,106,0,0,0.75,0
230,Container & packages,Export finished consumption,75,100,0,0,0.666666667,0.25
231,Container & packages,Consumption Container & packages,75,107,0,0,0.75,0
232,Other end uses,Export finished consumption,76,100,0,0,0.666666667,0.25
233,Other end uses,Consumption Other end uses,76,108,0,0,0.75,0
234,EOL scrap Building & construction,EOL scrap (generated),77,18,0,0,0.666666667,0.25
235,EOL scrap Transportation auto,EOL scrap (generated),78,18,0,0,0.666666667,0
236,EOL scrap Transportation other,EOL scrap (generated),79,18,0,0,0.666666667,0
237,EOL scrap Machine & industry,EOL scrap (generated),80,18,0,0,0.666666667,0
238,EOL scrap Electrical & equipment,EOL scrap (generated),81,18,0,0,0.666666667,0
239,EOL scrap Consumer durables,EOL scrap (generated),82,18,0,0,0.666666667,0
240,EOL scrap Container & packages,EOL scrap (generated),83,18,0,0,0.666666667,0
241,EOL scrap Other end uses,EOL scrap (generated),84,18,0,0,0.666666667,0
